timestamp,gateway_address,schedule_id,connected_nodes,tx_total,rx_total,tx_rate_1s,rx_rate_1s,avg_latency_ms
2025-09-05T17:59:37.112179,0x24374C76B5CF8604,6,10,0,0,0,0,35.54
2025-09-05T17:59:39.190683,0x24374C76B5CF8604,6,10,0,0,0,0,35.43
2025-09-05T17:59:41.239796,0x24374C76B5CF8604,6,10,0,0,0,0,36.13
2025-09-05T17:59:43.307063,0x24374C76B5CF8604,6,10,0,0,0,0,37.61
2025-09-05T17:59:45.369951,0x24374C76B5CF8604,6,10,0,0,0,0,36.88
2025-09-05T17:59:47.453150,0x24374C76B5CF8604,6,10,0,0,0,0,47.26
2025-09-05T17:59:49.518642,0x24374C76B5CF8604,6,10,0,0,0,0,45.90
2025-09-05T17:59:51.598920,0x24374C76B5CF8604,6,10,0,0,0,0,45.83
2025-09-05T17:59:53.660350,0x24374C76B5CF8604,6,10,0,0,0,0,43.89
2025-09-05T17:59:55.737376,0x24374C76B5CF8604,6,10,0,0,0,0,37.00
2025-09-05T17:59:57.787373,0x24374C76B5CF8604,6,10,0,0,0,0,37.28
2025-09-05T17:59:59.878819,0x24374C76B5CF8604,6,10,0,0,0,0,39.01
2025-09-05T18:00:01.942177,0x24374C76B5CF8604,6,10,0,0,0,0,38.92
2025-09-05T18:00:04.010118,0x24374C76B5CF8604,6,10,0,0,0,0,40.01
2025-09-05T18:00:06.069135,0x24374C76B5CF8604,6,10,0,0,0,0,39.38
2025-09-05T18:00:08.149519,0x24374C76B5CF8604,6,10,0,0,0,0,39.29
2025-09-05T18:00:10.180817,0x24374C76B5CF8604,6,10,0,0,0,0,39.26
2025-09-05T18:00:12.264930,0x24374C76B5CF8604,6,10,0,0,0,0,37.57
2025-09-05T18:00:14.317963,0x24374C76B5CF8604,6,10,0,0,0,0,38.94
2025-09-05T18:00:16.392469,0x24374C76B5CF8604,6,10,0,0,0,0,38.29
2025-09-05T18:00:18.454085,0x24374C76B5CF8604,6,10,0,0,0,0,39.50
2025-09-05T18:00:20.535243,0x24374C76B5CF8604,6,10,0,0,0,0,41.90
2025-09-05T18:00:22.599672,0x24374C76B5CF8604,6,10,0,0,0,0,41.53
2025-09-05T18:00:24.675103,0x24374C76B5CF8604,6,10,0,0,0,0,39.58
2025-09-05T18:00:26.728834,0x24374C76B5CF8604,6,10,0,0,0,0,37.63
2025-09-05T18:00:28.817691,0x24374C76B5CF8604,6,10,0,0,0,0,38.34
2025-09-05T18:00:30.886768,0x24374C76B5CF8604,6,10,0,0,0,0,34.57
2025-09-05T18:00:32.968279,0x24374C76B5CF8604,6,10,0,0,0,0,35.95
2025-09-05T18:00:35.022035,0x24374C76B5CF8604,6,10,0,0,0,0,37.06
2025-09-05T18:00:37.101982,0x24374C76B5CF8604,6,10,0,0,0,0,36.26
2025-09-05T18:00:39.146349,0x24374C76B5CF8604,6,10,0,0,0,0,38.52
2025-09-05T18:00:41.228735,0x24374C76B5CF8604,6,10,0,0,0,0,37.91
2025-09-05T18:00:43.287159,0x24374C76B5CF8604,6,10,0,0,0,0,35.90
2025-09-05T18:00:45.370850,0x24374C76B5CF8604,6,10,0,0,0,0,36.02
2025-09-05T18:00:47.416805,0x24374C76B5CF8604,6,10,0,0,0,0,36.33
2025-09-05T18:00:49.510474,0x24374C76B5CF8604,6,10,0,0,0,0,36.70
2025-09-05T18:00:51.558292,0x24374C76B5CF8604,6,10,0,0,0,0,35.85
2025-09-05T18:00:53.636459,0x24374C76B5CF8604,6,10,0,0,0,0,37.87
2025-09-05T18:00:55.701364,0x24374C76B5CF8604,6,10,0,0,0,0,38.53
2025-09-05T18:00:57.774863,0x24374C76B5CF8604,6,10,0,0,0,0,38.36
2025-09-05T18:00:59.888460,0x24374C76B5CF8604,6,10,0,0,0,0,39.31
2025-09-05T18:01:02.018616,0x24374C76B5CF8604,6,10,0,0,0,0,38.51
